ATS System Code,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Borough Block Lot,Census Tract,Community District,Council District,NTA,NTA_Name,Principal Name,Principal Title,Principal Phone Number,Fax Number,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,Superintendent,Superintendent Location Code,Community School Sup Name,FSC Location Code,FSC Director Name,FSC Director Title,FSC Director Phone,HighSchool Network Location Code,HighSchool Network Name,HighSchool Network Superintendent
,O001,Amani Charter School,660900861000,Charter,General Academic,Secondary School,"05,06",,Dec 12 2012,Open,OABQ,261 EAST LINCOLN AVENUE,MT VERNON,NY,10522,0,,0,0,,,,,914-668-6450,,0,84,,OFFICE OF CHARTER SCHOOLS,,,,,,,,,,
,OAQK,"Victory Schools, DBA The Charter School of Excellence",662300860862,Charter,General Academic,Elementary,"0K,01,02,03,04",,Mar 20 2006,Open,OAQK,260 WARBURTON AVE,YONKERS,NY,10701,0,,0,0,,,Â ,PRINCIPAL,,,0,0,,OUTSIDE N.Y.C.,,,,,,,,,,
,OAWF,The Academy Charter School,800000066417,Charter,General Academic,Elementary,"0K,01,02,03,04,05",,Jul 1 2009,Open,OAWF,94 Fulton Avenue,Hempstead,NY,11550,0,,0,0,,,,,,,0,84,,OFFICE OF CHARTER SCHOOLS,,,,,,,,,,
01M015,M015,P.S. 015 Roberto Clemente,310100010015,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1904,Open,M015,333 EAST 4 STREET,MANHATTAN,NY,10009,1003740020,2601,103,2,MN28,Lower East Side,IRENE SANCHEZ,PRINCIPAL,212-228-8730,212-477-0931,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M019,M019,P.S. 019 Asher Levy,310100010019,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1956,Open,M019,185 1 AVENUE,MANHATTAN,NY,10003,1004530034,4000,103,2,MN22,East Village,JACQUELINE FLANAGAN,PRINCIPAL,212-533-5340,212-673-1477,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M020,M020,P.S. 020 Anna Silver,310100010020,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1963,Open,M020,166 ESSEX STREET,MANHATTAN,NY,10002,1003550001,3001,103,1,MN27,Chinatown,SARAH PINTO VIAGRAN,PRINCIPAL,212-254-9577,212-254-3526,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M034,M034,P.S. 034 Franklin D. Roosevelt,310100010034,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jul 1 1955,Open,M034,730 EAST 12 STREET,MANHATTAN,NY,10009,1003810038,2800,103,2,MN28,Lower East Side,ANGELIKI LOUKATOS,PRINCIPAL,212-228-4433,212-353-1973,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M063,M063,The STAR Academy - P.S.63,310100010063,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1905,Open,M063,121 EAST 3 STREET,MANHATTAN,NY,10009,1004310014,3200,103,2,MN22,East Village,DARLENE CAMERON,PRINCIPAL,212-674-3180,212-420-9018,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M064,M064,P.S. 064 Robert Simon,310100010064,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1954,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,1003870001,2601,103,2,MN28,Lower East Side,Marlon L. Hosang,PRINCIPAL,212-673-6510,212-477-2369,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M110,M110,P.S. 110 Florence Nightingale,310100010110,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",Jul 1 1902,Open,M110,285 DELANCY STREET,MANHATTAN,NY,10002,1003310140,1200,103,1,MN28,Lower East Side,KAREN FEUER,PRINCIPAL,212-674-2690,212-475-5835,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
